id,answer,question_id
1,palindrome,20
2,saturn,21
3,venezuela,22
4,central perk,206
5,the shining,207
6,tesla,208
7,plants,209
8,almonds,210
9,yeast,211
10,denmark,212
11,mexico,213
12,44,214
13,vodka,215
14,42,216
15,salvador dali,217
16,hermes,218
17,wuhan,219
18,8,220
19,the simpsons,221
20,spencer,222
21,pandora,223
22,88,224
23,city of angels,225
24,lady gaga,226
25,isaac newton,227
26,carbon dioxide,228
27,placebo,229
28,23,230
29,artificial intelligence,231
30,nucleus,232
31,cell division,233
32,thyroid gland,234
33,dopamine,235
34,orion's belt,236
35,the mantle,237
36,penicillin,238
37,vitamin D,239
38,79,240
39,alfred nobel,241
40,lithium,242
41,refraction,243
42,entropy,244
43,nitrogen fixation,245
44,archipelago,246
45,los angeles,247
46,iceland,248
47,atlantic Ocean,249
48,south america,250
49,ottawa,251
50,sudan,252
51,jordan,253
52,arizona,254
53,kansas city,255
54,sicily,256
55,botswana,257
56,senegal,258
57,mexico city,259
58,the roe river,260
59,54,261
60,agra,262
61,laos,263
62,equador,264
